cruise,station,FishSpecies,FishNum,preyNum,preyTaxon,preyTaxa,preySpp,Ocularunits,Mag,prey_mm,Scope,preyCount,gutCount,Comments_prey,Comments_gut,forkLength
201802,160,A_pse,2,9,Euphausiidae,NA,NA,3.2,1.25,2.051282051,M60,NA,288,Furcilia,NA,248
201802,160,A_pse,2,10,Euphausiidae,NA,NA,3.4,1.25,2.179487179,M60,NA,288,Furcilia,NA,248
201802,160,A_pse,2,1,Parasite,NA,NA,NA,NA,150,M60,NA,288,roundworm,NA,248
201802,154,S_sco,2,1,Chaetognatha,NA,NA,12.8,0.63,16.84210527,M60,NA,605,NA,NA,262
201802,154,S_sco,2,2,Chaetognatha,NA,NA,15.9,0.63,20.92105264,M60,NA,605,NA,NA,262
201802,154,S_sco,2,3,Chaetognatha,NA,NA,15,0.63,19.73684211,M60,NA,605,NA,NA,262
201802,154,S_sco,2,4,Chaetognatha,NA,NA,11.8,0.63,15.52631579,M60,NA,605,NA,NA,262
201802,154,S_sco,2,5,Chaetognatha,NA,NA,12.8,0.63,16.84210527,M60,NA,605,NA,NA,262
201802,154,S_sco,2,6,Chaetognatha,NA,NA,12.3,0.63,16.18421053,M60,NA,605,NA,NA,262
201802,154,S_sco,2,7,Chaetognatha,NA,NA,12.6,0.63,16.57894737,M60,NA,605,NA,NA,262
201802,154,S_sco,2,8,Chaetognatha,NA,NA,20.8,0.63,27.36842106,M60,NA,605,NA,NA,262
201802,154,S_sco,2,9,Chaetognatha,NA,NA,17.1,0.63,22.50000001,M60,NA,605,NA,NA,262
201802,154,S_sco,2,10,Chaetognatha,NA,NA,13.2,0.63,17.36842106,M60,NA,605,NA,NA,262
201802,154,S_sco,2,1,Calanus,NA,NA,6.5,3.2,1.585365854,M60,NA,605,NA,NA,262
201802,154,S_sco,2,2,Calanus,NA,NA,6.8,2.5,2.147368423,M60,NA,605,NA,NA,262
201802,154,S_sco,2,3,Calanus,NA,NA,4.7,1.6,2.326732674,M60,NA,605,NA,NA,262
201802,154,S_sco,2,4,Calanus,NA,NA,5.1,1.6,2.524752476,M60,NA,605,NA,NA,262
201802,154,S_sco,2,5,Calanus,NA,NA,5.3,1.6,2.623762377,M60,NA,605,NA,NA,262
201802,154,S_sco,2,1,CalanoidSmall,NA,NA,4.3,4,0.851485149,M60,NA,605,NA,NA,262
201802,154,S_sco,2,2,CalanoidSmall,NA,NA,4.6,2,1.80392157,M60,NA,605,NA,NA,262
201802,154,S_sco,2,3,CalanoidSmall,NA,NA,3.3,1.6,1.633663367,M60,NA,605,NA,NA,262
201802,154,S_sco,2,4,CalanoidSmall,NA,NA,2.4,1.6,1.188118812,M60,NA,605,NA,NA,262
201802,154,S_sco,2,5,CalanoidSmall,NA,NA,3,1.6,1.485148515,M60,NA,605,NA,NA,262
201802,154,S_sco,2,6,CalanoidSmall,NA,NA,2.7,1.6,1.336633664,M60,NA,605,NA,NA,262
201802,154,S_sco,2,7,CalanoidSmall,NA,NA,3.8,1.6,1.881188119,M60,NA,605,NA,NA,262
201802,154,S_sco,2,8,CalanoidSmall,NA,NA,1.8,1.6,0.891089109,M60,NA,605,NA,NA,262
201802,154,S_sco,2,9,CalanoidSmall,NA,NA,2.9,1.6,1.435643565,M60,NA,605,NA,NA,262
201802,154,S_sco,2,10,CalanoidSmall,NA,NA,2.7,1.6,1.336633664,M60,NA,605,NA,NA,262
201802,154,S_sco,2,1,Appendicularia,NA,NA,4.5,3.2,1.097560976,M60,NA,605,NA,NA,262
201802,154,S_sco,2,2,Appendicularia,NA,NA,2.2,1,1.774193549,M60,NA,605,NA,NA,262
201802,154,S_sco,2,3,Appendicularia,NA,NA,1.7,1,1.370967742,M60,NA,605,NA,NA,262
201802,154,S_sco,2,4,Appendicularia,NA,NA,1.3,1,1.048387097,M60,NA,605,NA,NA,262
201802,154,S_sco,2,5,Appendicularia,NA,NA,1.2,1,0.967741936,M60,NA,605,NA,NA,262
201802,154,S_sco,2,6,Appendicularia,NA,NA,1.5,1,1.20967742,M60,NA,605,NA,NA,262
201802,154,S_sco,2,7,Appendicularia,NA,NA,1.6,1,1.290322581,M60,NA,605,NA,NA,262
201802,154,S_sco,2,8,Appendicularia,NA,NA,1.3,1,1.048387097,M60,NA,605,NA,NA,262
201802,154,S_sco,2,9,Appendicularia,NA,NA,1.5,1,1.20967742,M60,NA,605,NA,NA,262
201802,154,S_sco,2,10,Appendicularia,NA,NA,1.5,1,1.20967742,M60,NA,605,NA,NA,262
201802,154,S_sco,2,1,Metridia,NA,NA,3.8,1.6,1.881188119,M60,NA,605,NA,NA,262
201802,154,S_sco,2,2,Metridia,NA,NA,3.6,1.6,1.782178218,M60,NA,605,NA,NA,262
201802,154,S_sco,2,3,Metridia,NA,NA,3.8,1.6,1.881188119,M60,NA,605,NA,NA,262
201802,154,S_sco,2,4,Metridia,NA,NA,4.2,1.6,2.079207921,M60,NA,605,NA,NA,262
201802,154,S_sco,2,5,Metridia,NA,NA,3.1,1.6,1.534653466,M60,NA,605,NA,NA,262
201802,154,S_sco,2,6,Metridia,NA,NA,3.8,1.6,1.881188119,M60,NA,605,NA,NA,262
201802,154,S_sco,2,7,Metridia,NA,NA,3.6,1.6,1.782178218,M60,NA,605,NA,NA,262
201802,154,S_sco,2,8,Metridia,NA,NA,3.1,1.6,1.534653466,M60,NA,605,NA,NA,262
